dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
468,1.37,Park 468,"4556 W 56th St Chicago, IL 60629"
472,1.79,Grandparents' Park,"5445 N Chester St Chicago, IL 60656"
474,0.01,Park 474,"3231 W Douglas Blvd Chicago, IL 60616"
476,1.12,River Esplanade Park,"401 E River Dr Chicago, IL 60611"
477,1.38,Ogden Plaza Park,"429 N Columbus Dr Chicago, IL 60611"
478,3.43,DuSable Park,"401 N Lake Shore Dr Chicago, IL 60611"
479,1.3,Jones Park,"1240 S Plymouth Ct Chicago, IL 60616"
480,2.38,Cotton Tail Park,"44 W 15th St Chicago, IL 60616"
481,17.53,Ping Tom Memorial Park,"300 W 18th St Chicago, IL 60616"
482,1.14,Nash Community Center Park,"1833 E 71st St Chicago, IL 60649"
484,12.75,Madigan Park,"4701 W Marquette Rd Chicago, IL 60638"
485,2.89,Kennicott Park,"4434 S Lake Park Ave Chicago, IL 60653"
486,22.73,Winnemac Park,"5001 N Leavitt St Chicago, IL 60625"
487,0.51,Broncho Billy Park,"4437 N Magnolia Ave Chicago, IL 60640"
488,2.94,Challenger Park,"1100 W Irving Park Rd Chicago, IL 60613"
490,1.21,Ridge Park Wetlands,"9516 S Wood St Chicago, IL 60643"
492,9.29,Armstrong Park,"4433 S St Lawrence Chicago, IL 60653"
493,1.39,Kelly (John) Park,"3800 N Seminary Ave Chicago, IL 60613"
494,25.4,Washington (Harold) Park,"5200 S Hyde Park Blvd Chicago, IL 60615"
496,1.81,Boler Park,"3601 W Arthington St Chicago, IL 60624"
497,2.13,Starr Park,"2306 W Maypole Ave Chicago, IL 60612"
499,7.68,Beniac Greenway Park,"3925 E 104th St Chicago, IL 60617"
500,1.33,Park 500,"730 S Springfield Ave Chicago, IL 60624"
501,0.33,Parsons Park,"4701 W Belmont Ave Chicago, IL 60641"
502,2.43,Canal Origins Park,"2701 S Ashland Ave Chicago, IL 60608"
503,15.47,Schafer Park,"8900 S Green Bay Ave Chicago, IL 60617"
504,10.01,Mandrake Park,"900 E Pershing Rd. Chicago, IL 60653"
505,0.64,Nottingham Park,"7101 W 63rd St Chicago, IL 60638"
506,0.21,Washington (Harold) Memorial Park,"7710 N Paulina St Chicago, IL 60626"
507,0.75,Coliseum Park,"1466 S Wabash Av Chicago, IL 60605"
509,1.28,Renaissance Park,"1300 W 79th St Chicago, IL 60620"
510,2.63,Livingston Field Park,"2139-59 W. Lexington St Chicago, IL 60612"
511,2.92,Montgomery Ward Park,"630 N Kingsbury Ave Chicago, IL 60610"
512,3.46,Park 512,"1800 N Ashland Ave Chicago, IL 60614"
513,1.31,Webster Park,"1401 S Indiana Ave Chicago, IL 60605"
514,0.7,Park 514,"1434 N Monticello Ave Chicago, IL 60651"
515,5.46,Homan Square Community Center Park,"3517 W Arthington St Chicago, IL 60624"
516,5.2,Canalport Riverwalk Park,"2900 S Ashland Ave Chicago, IL 60608"
517,0.65,Park 517,"5914-5924 N Sheridan Rd Chicago, IL 60660"
518,2.19,Triangle Park,"1750 W Juneway Ter Chicago, IL 60626"
519,0.08,Park 519,"1944 S St. Louis Ave Chicago, IL 60623"
520,0.16,Honor<U+FFFD> Park,"916 N Honore St Chicago, IL 60622"
521,0.16,Warner Garden Park,"1426 W Warner Ave Chicago, IL 60613"
522,1.97,Wang Park,"1719 W Wolfram St Chicago, IL 60657"
523,16.92,Steelworkers Park,"E 87th St At The Lake Chicago, IL 60617"
524,2.37,Harris (Harriet) Park,"6200 S Drexel Ave Chicago, IL 60637"
526,7.53,Stone Park,"3200 W Peterson Ave Chicago, IL 60659"
527,5.75,Park 527,"6200 S Lasalle St Chicago, IL 60621"
528,5.78,Park 528,"6336 S Kilbourn Ave Chicago, IL 60629"
529,0.54,Park 529,"2155 W Wabansia Ave Chicago, IL 60647"
530,2.67,Daley Park,"3150 S Western Ave Chicago, IL 60608"
531,27.05,Palmisano Park,"2850 S Halsted St Chicago, IL 60608"
532,2.89,Williams- Davis Park,"4101 S. Lake Park Ave Chicago, IL 60653"
533,58.11,North Park Nature Ctr,"5801 N Pulaski Rd Chicago, IL 60646"
534,3.65,Park 534,"1300 S St Louis Ave Chicago, IL 60623"
535,0.14,Park 535,"800 W Wisconsin St Chicago, IL 60614"
536,0.32,Park 536,"1401 N Noble St Chicago, IL 60622"
