objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2887,388,WASHINGTON (DINAH),Playground Park,OUTDOOR,4315,Washington (Dinah) Park,"8215 S Euclid Ave Chicago, IL 60617",Chicago_Ward_8,Washington (Dinah) Park - Playground Park,Chicago_Park_Facility_2887,Chicago_Park_388,"c(452053.110804605, 4621685.97567566)",7345,7265
2917,21,WASHINGTON (GEORGE),Playground,OUTDOOR,4345,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Ward_0,Washington (George) Park - Playground 1,Chicago_Park_Facility_2917,Chicago_Park_21,"c(449140.252394663, 4626228.03637385)",7310,7269
2918,21,WASHINGTON (GEORGE),Playground,OUTDOOR,4346,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Ward_0,Washington (George) Park - Playground 2,Chicago_Park_Facility_2918,Chicago_Park_21,"c(448867.686509999, 4627664.57568461)",7310,7269
2919,21,WASHINGTON (GEORGE),Playground,OUTDOOR,4347,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Ward_0,Washington (George) Park - Playground 3,Chicago_Park_Facility_2919,Chicago_Park_21,"c(449597.618101149, 4627260.73821768)",7310,7269
4138,21,WASHINGTON (GEORGE),Playground,OUTDOOR,5567,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Ward_0,Washington (George) Park - Playground 4,Chicago_Park_Facility_4138,Chicago_Park_21,"c(448922.355628971, 4626851.22514291)",7310,7269
2935,494,WASHINGTON (HAROLD),Playground,OUTDOOR,4363,Washington (Harold) Park,"5200 S Hyde Park Blvd Chicago, IL 60615",Chicago_Ward_5,Washington (Harold) Park - Playground,Chicago_Park_Facility_2935,Chicago_Park_494,"c(451606.391079483, 4627825.24106856)",7311,7278
2945,506,WASHINGTON (HAROLD) MEM.,Playground Park,OUTDOOR,4373,Washington (Harold) Memorial Park,"7710 N Paulina St Chicago, IL 60626",Chicago_Ward_49,Washington (Harold) Memorial Park - Playground Park,Chicago_Park_Facility_2945,Chicago_Park_506,"c(444250.288206744, 4652381.65220582)",7313,7252
2947,1070,WASHTENAW,Playground,OUTDOOR,4375,Washtenaw Park,"2521 S Washtenaw Ave Chicago, IL 60608",Chicago_Ward_24,Washtenaw Park - Playground,Chicago_Park_Facility_2947,Chicago_Park_1070,"c(442516.164940618, 4632888.51207352)",7335,7211
2949,1135,WEISMAN (ALBERT),Playground Park,OUTDOOR,4377,Weisman Park,"901 W Oakdale Ave Chicago, IL 60657",Chicago_Ward_44,Weisman Park - Playground Park,Chicago_Park_Facility_2949,Chicago_Park_1135,"c(445957.511749367, 4642786.39449355)",7348,7238
4537,110,WELLES (GIDEON),Playground,OUTDOOR,5668,Welles Park,"2333 W Sunnyside Ave Chicago, IL 60625",Chicago_Ward_47,Welles Park - Playground 1,Chicago_Park_Facility_4537,Chicago_Park_110,"c(443027.775282199, 4645875.99761159)",7309,7241
2962,110,WELLES (GIDEON),Playground,OUTDOOR,4390,Welles Park,"2333 W Sunnyside Ave Chicago, IL 60625",Chicago_Ward_47,Welles Park - Playground 2,Chicago_Park_Facility_2962,Chicago_Park_110,"c(443043.508863102, 4645754.81332945)",7309,7241
