schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
2.46,Woodhull Park,"7340 S East End Ave Chicago, IL 60649",Chicago_Park_1073,1907,Ward 8
4.64,Wrightwood Park,"2534 N Greenview Ave Chicago, IL 60614",Chicago_Park_1074,1887,Ward 32
0.44,Langdon Park,"1754 W Albion Ave Chicago, IL 60626",Chicago_Park_1077,1876,Ward 49
0.24,Andersonville Park,"5233 N Ashland Ave Chicago, IL 60640",Chicago_Park_1078,1906,Ward 40
0.18,Krause Park,"10558 S Avenue L Chicago, IL 60617",Chicago_Park_1079,1891,Ward 10
0.46,Wesolek Park,"13407 S Avenue M Chicago, IL 60633",Chicago_Park_1080,1891,Ward 10
1.03,Bixler Park,"5641 S Kenwood Ave Chicago, IL 60637",Chicago_Park_1083,1866,Ward 5
0.45,Buena Circle Park,"1049  W Buena Chicago, IL 60613",Chicago_Park_1084,1860,Ward 46
0.16,Carmen Park,"1224 W Carmen Ave Chicago, IL 60640",Chicago_Park_1085,1874,Ward 47
0.28,Carpenter Park,"6155 S Carpenter St Chicago, IL 60621",Chicago_Park_1086,1901,Ward 16
0.24,Central Park,"721 N Central Park Ave Chicago, IL 60624",Chicago_Park_1087,1905,Ward 27
0.16,Christiana Park,"1533 S Christiana Ave Chicago, IL 60623",Chicago_Park_1089,1864,Ward 24
0.28,Korczak Park,"6156 N Claremont Ave Chicago, IL 60659",Chicago_Park_1090,1906,Ward 40
0.49,Clybourn Park,"1755 N Clybourn Ave Chicago, IL 60614",Chicago_Park_1091,1894,Ward 2
0.29,Davis (Margaret) Park,"5427 W Division St Chicago, IL 60651",Chicago_Park_1092,1900,Ward 37
0.37,DeGeorge Park,"4905 W Wabansia Ave Chicago, IL 60639",Chicago_Park_1093,1900,Ward 37
0.34,Dobson Park,"7521 S Dobson Ave Chicago, IL 60619",Chicago_Park_1094,1907,Ward 8
0.52,Elston Park,"3461 N Troy St Chicago, IL 60618",Chicago_Park_1097,1858,Ward 33
0.24,Emerald Park,"5600 S Emerald Ave Chicago, IL 60621",Chicago_Park_1098,1884,Ward 20
0.79,Fellger Park,"2012 W Belmont Ave Chicago, IL 60618",Chicago_Park_1100,1887,Ward 32
0.42,Gladys Park,"3307 W Gladys Ave Chicago, IL 60624",Chicago_Park_1102,1896,Ward 28
0.39,Grand Park,"3531 W Grand Ave Chicago, IL 60651",Chicago_Park_1103,1905,Ward 27
0.44,Harding (Frederick) Park,"3921 W Division St Chicago, IL 60651",Chicago_Park_1106,1900,Ward 37
0.22,Zatterberg Park,"4246 N Hermitage Ave Chicago, IL 60613",Chicago_Park_1107,1874,Ward 47
0.2,Homan Park,"2148 S Homan Ave Chicago, IL 60623",Chicago_Park_1108,1864,Ward 24
0.62,Hubbard Park,"4950 W Hubbard St Chicago, IL 60644",Chicago_Park_1109,1900,Ward 37
0.72,Hansberry Park,"5635 S Indiana Ave Chicago, IL 60637",Chicago_Park_1111,1884,Ward 20
0.27,Jackson (Robert) Park,"4319 S Indiana Ave Chicago, IL 60653",Chicago_Park_1112,1861,Ward 3
1.98,Jefferson (Thomas) Park,"1630 S Jefferson St Chicago, IL 60616",Chicago_Park_1113,NA,NA
0.07,Keeler Park,"1243 S Keeler Ave Chicago, IL 60623",Chicago_Park_1114,1864,Ward 24
